id,sentence
4,হারামি
5,হারামজাদা
57,ধোন
58,হোল
60,নটি
65,মাগিবাজ
68,মাগী
77,চুদনা মাগী
86,নিবীর্জ
95,সুদখোর
103,হোগা চাটা
129,বুশ
130,তালেবান
131,হিটলার
170,অক্ষম পুরুষ
174,জালিম
175,অবৈধ পোলা
180,অর্ধ উলঙ্গ
181,অমানুষ
184,অসভ্য 
185,জঙ্গি
206,ফালতু
212,কসাই
236,কাউয়া 
238,কাঙাল 
239,কাউলা 
252,খানকি
271,খানকির ছেলে
275,গাঁজাখোর 
281,মদখোর 
282,আফিমখোর  
283,বেইমান
285,গন্ড মূর্খ
288,গাধা
298,গু
308,হেরোইনখোর 
311,নেশাখোর 
312,চাটা কুত্তা
331,চালাক চোদা 
343,চিনের দালাল
350,চুদি না
372,নর্দমার কীট
380,নাই শরম
383,নাপাক
384,নারীবাদি
388,নিকৃষ্ট জাতি
391,নিচু জাত
393,নিচু মানের
395,নিজের পাছায়
402,নুনু ছোট
405,নেড়ি কুত্তা
414,পর্ন ষ্টার
429,পাছা বড়
