Serial,Word
1,শুয়োরের বাচ্চা
2,কুত্তার বাচ্ছা
3,হারামির বাচ্চা
4,হারামি
5,হারামজাদা
6,হারামখোর
7, খাঙ্কিরপোলা
8,খান্কি মাগির পোলা
9,চোদনা
10,চুদির ভাই
11,চুতমারানি
12,চুদির পোলা
13,তর মায়রে চুদি
14,তর মায়রে বাপ
15,শালা
16,শালার পো শালা
17,হুমুন্দির পুত
18,মাঙ্গির পুত
19,নাটকির পো
20,ল্যাউড়ার পুত
21,হাউয়ার পো
22,হাউয়ার নাতি
23,চুদানির পো
24,ভুদার বেটা
25,লটির পো
26,লটির বেটা
27,ভেড়াচ্চোদা
28,মাউড়া চোদা
29,গুয়ার ভিতরে ভিতরে ভইড়া দিমু
30,হোগার ভিতরে ভইড়া দিমু
31,ঠ্যাঁঙ কাইট্টা পুটকি দা ভইরা দিমু
32,হালা ল্যাওড়া চোদা
33,বানচোত
34,কুত্তাচোদা
35,তর পুটকিত ধান ছড়াইয়া চড়ুই দিয়া খাওয়ামু
36,বালি দিয়া চুদমু তরে খাঙ্কি মাগী
37,বালের রয়েল বেঙ্গল উকুন
38,তোর হউরিরে ডিগবাজী
39,আল বদর
40,তোর জাঙ্গীয়া খুইল্যা আগুন লাগায় দিমু
41,বাল ফালায়া খালে নামানো
42,বাল ফালায়া আটিঁ বান্ধা
43,বালে বালে গিট্টু
44,গোলাম আযম
45,মইত্যা নিজামী
46,গেলমান
47,তিনকোনা
48,তৃনভোজ
49,চতুরচোর
50,মহাবুবস্
51,বাপের আগে বাল ফালায়
52,ভোদাই
53,ভোদার বাল
54,বাল
55,বাল ছাল
56,ধোনের বাল
57,ধোন
58,হোল
59,টেংরি ভাইংগা হাতে ধরায়া দিমু
60,নটি
61,নটি মাগি
62,নটি মাগির পোলা
63,নটি মাগির ঝি
64,গুদের বাল
65,মাগিবাজ
66,মাইগ্যা
67,বেশ্যা 
68,মাগী
69,বাল ফালাইয়া আটি বান
70,ভৈরব মাগী
71,পুকটি মারা খা
72,গাড় মারা খা
73,ভইরা দিমু
74,মাঙ্গের পোলা
75,উপ্তা কইরা চুদমু
76,মাঙ্গের নাতি
77,চুদনা মাগী
78,ভাতার চুদা
79,মীরজাফর
80,নীজামী
81,গরম ডিম দিমু
82,উপ্তা কইরা চুদা দিমু
83,গোস্তের লাঠি সাটামু
84,ধোন কাইট্টা কুত্তা দিয়া খাওয়ামু
85,লেওরা
86,নিবীর্জ
87,চুতমারানীর পোলা
88,তর মায়েরে চিচিং ফাক
89,কান্দে ফালাইয়া তর মায়েরে চুদি
90,পুটকিতে বাশ দিমু
91,চামড়া ছুইল্লা লবণ লাগামু
92,লাথ্থি দিমু
93, উষ্টা খা
94, ইউনুস
95,সুদখোর
96,গুদির ব্যাটা
97,কাঠ্ঠির বেট্যা
98,ল্যাদানী
99,হোলচাটা
100,মাহফুজ সাহেব
101,বাইনচোদ
102,মাদার চোদ
103,হোগা চাটা
104,১ ইঞ্চি
105,নিজামী চোদা
106,মুজাহিদের বউ
107,গো আর জুতা
108,কুত্তার হোল
109,মাসিকের রক্ত।
110,হোল টাইনা পুকটিতে ভর
111,হোলের চুলকানী
112,আবাল চোদা
113,বোকা আচোদা 
114,খবিশ চোদা 
115,ভুস্কি মাগির পোলা
116,তর ভোদায় বিলাই হ্যাচড়া (এক ধরনের কাটাযুক্ত লম্বা শীষ)
117,তর মার ভোদায় পাব্লিক টয়লেট
118,তর মায়ের ভুদাতে পোকা
119,তর বাপপের হোল তর বউয়ের ভোদাতে।
120,তর মায়ের ঐখানে বিছাতু পাতা।
121,গোলাম আযম
122,সাঈদী
123,মুজাহিদ
124,নিজামী
125,এরশাদ
126,জামাত
127,শিবির
128,পাকিস্তানি
129,বুশ
130,তালেবান
131,হিটলার
132, হালদা নদী
133,বিএসএফ
134,গ্রামীণ ব্যাংক
135,গ্রামীণ ফোন
136,মজবাশার
137,সোনার বাংলা ব্লগ
138,তোগোরে ফাসিতে লটকাইয়া চুদমু
139,তোগোর ধোন টাইনা তোগোর পিছন দিয়া ঢুকামু
140,ইয়াহিয়া
141,আইয়ুব খান
142, মোহাম্মদ আলী জিন্নাহ
143,জং ধরা লোহা দিয়া পাকিস্তানের মানচিত্র বানাই্য়া তোদের পিছন দিয়া ঢুকামু
144,তর মায়ের ভোদা শিরিষ কাগজ দিয়া ঘইষা দিমু
145, তর মায়ের ভোদা বোম্বাই মরিচ দিয়া চুদামু
146,"তর হোগায় ইনপুট, তর মায়ের ভোদায় আউটপুট"
147,তর বাপের পুটকির ফুটা দিয়া কাডল ঢুকামু
148, নিজামীর গোয়ার কৃমি
149,তর বাপের ধন দিয়া ডাংগুলি খেলুম
150,তর বাপের বিচি বেইচা কটকটি খামু
151,তর বৌয়ের ভোদায় মাগুর মাছ চাষ করুম
152,তর ধন দিয়া মাটি খুড়ুম
153,ফাটা কন্ডমের ফসল।
154,লাত্থায় তর মার আনরেজিস্টার্ড শ্বশুরবাড়ী ফাকিস্তান পাঠায় দিমু
155,হাতির ল্যাওড়া দিয়া তর মায়েরে চুদুম
156, তর মায়ের ভোদা ছিল্লা লবণ লাগায় দিমু
157,তর বাপের হোগা দিয়া ট্রেন ভইরা দিমু
158,তরে গোআ দিয়া চুদামু
159,এক কানে হোল ভইরা আরেক কান দিয়া বাইর করমু
160,তোর হোল ভাজি কইরা তোরেই খাওয়ামু
161,কুত্তার পুকটি চাটামু
162,মাসিকের ত্যানা
163,তোর নাকে হাইগ্যা দিমু
164,তোর বাপ গাইড়্যা
165,মোবাইল ভাইব্রেশন কইরা তুর পুকটিতে ভরবো
166,তোর বইয়ের মুসলমানি দিমু
167,তোর বাপে তোর নানা
168,শাহবাগি 
169,ছয়দুধ 
170,অক্ষম পুরুষ
171,অডিও সেক্স
172,মূর্খ শালা 
173,বিচি নাই 
174,জালিম
175,অবৈধ পোলা
176,অবৈধ ফসল
177,অবৈধ সন্তান
178,অমানুষের দল
179,অমানুষের বাচ্চা
180,ল্যাংটা 
181,অর্ধ উলঙ্গ
182,অর্ধ নগ্ন
183,অর্ধনগ্ন ছবি
184,অমানুষ
185,অসভ্য 
186,অসভ্য জাতি
187,অসভ্য দেশ
188,অসভ‍্য বর্বর
189,অসুস্থ মস্তিষ্ক
190,আঁচলের নিচে
191,আওয়ামী দালাল
192,আন্ডা থেরাপি
193,আন্ডা পারা
194,আপু আগুন
195,আপু সেক্সি
196,আপু হট
197,আপু হিজাব
198,আবাল ছাবাল
199,আব্বার নাম
200,আব্বার হেডা
201,আমার হেডা
202,আরব্য বর্গীরা
203,ইংরেজের দালাল
204,ইমো সেক্স
205,ইসলাম বিদ্ধেষী
206,জঙ্গি
207,ইহুদি নাসারা
208,জামাতি
209,চুনা 
210,উটের মুত
211,উটের মুতখোর
212,ফালতু
213,ছাগু
214,ওড়না নাই
215,ওরে গাধা
216,ওরে গান্ডু
217,ওরে চিটার
218,ওরে ছাগল
219,ওরে বারোবাতারি
220,ওরে মেকাপ
221,ওরে লুইচ্চা
222,ওরে লুচু
223,কচি কচি
224,কচি ডাব
225,কচি মাইয়া
226,কচি মাল
227,কচি মেয়ে
228,কড়া মাল
229,কত রেট
230,কত লাগবে
231,কতো খেলবা
232,কত্ত বড়
233,কনফার্ম জান্নাতি
234,কলা ভরে
235,কলুর বলদ
236,কসাই
237,কাংলা 
238,কাউয়া 
239,কাঙাল 
240,কাটমানি খোর
241,কাটা কলা
242,কাটা খাজ
243,কাটা চোদা
244,কাটা বাঁড়া
245,কাটা মাল
246,কাটার বাচ্চা
247,কাঠ মোল্লা
248,কাদিয়ানি
