id,BG,EG
4,হারামি,rascal
5,হারামজাদা,bastard
57,ধোন,dick
58,হোল,hole
60,নটি,naughty
65,মাগিবাজ,womanizer
68,মাগী,whore
77,চুদনা মাগী,fucking whore
86,নিবীর্জ,Infertile
95,সুদখোর,usurer
103,হোগা চাটা,asslicker
129,বুশ,Bush
130,তালেবান,Taliban
131,হিটলার,Hitler
170,অক্ষম পুরুষ,Impotent
174,জালিম,tyrant
175,অবৈধ পোলা,bastard
180,ল্যাংটা ,naked
181,অর্ধ উলঙ্গ,half-naked
184,অমানুষ,inhuman
185,অসভ্য ,uncivilized
206,জঙ্গি,Terrorist
212,ফালতু,useless
236,কসাই,butcher
238,কাউয়া ,crow
239,কাঙাল ,destitute
252,কাউলা ,nigger
271,খানকি,bitch
275,খানকির ছেলে,son of a bitch
281,গাঁজাখোর ,pothead
282,মদখোর ,Alcoholic
283,আফিমখোর  ,Opium addict
285,বেইমান,Betrayer
288,গন্ড মূর্খ,illiterate
298,গাধা,Stupid
308,গু,Stool
311,হেরোইনখোর ,Heroin addict
312,নেশাখোর ,addict
331,চাটা কুত্তা,flattery
343,চিনের দালাল,Chinese Agent
350,চুদি না,dont care
372,নর্দমার কীট,lowlife
380,নাই শরম,shameless
383,নাপাক,unholy
384,নারীবাদি,atheist
388,নিকৃষ্ট জাতি,Inferior Race
391,নিচু জাত,Lower caste
393,নিচু মানের,Degraded
395,নিজের পাছায়,fuck own ass
402,নুনু ছোট,small dick
405,নেড়ি কুত্তা,Street dog
414,পর্ন ষ্টার,Pornstar
429,পাছা বড়,big ass
