serial,word,rating
1,শুয়োরের বাচ্চা,3
2,কুত্তার বাচ্চা,3
3,হারামির বাচ্চা,3
7,খানকির পোলা,4
8,খান্কি মাগির পোলা,4
9,চোদনা,3
10,চুদির ভাই,3
13,তর মায়রে চুদি,5
29,গুয়ার ভিতরে ভিতরে ভইড়া দিমু,4
34,কুত্তাচোদা,4
35,তর পুটকিত ধান ছড়াইয়া চড়ুই দিয়া খাওয়ামু,5
65,গুদের বাল,1
68,বেশ্যা মাগী,4
78,ভাতার চুদা,4
81,গরম ডিম দিমু,1
84,ধোন কাইট্টা কুত্তা দিয়া খাওয়ামু,5
86,নিবীর্জ,1
92,লাথ্থি দিমু,1
93,উষ্টা খা,1
95,সুদখোর,1
99,হোলচাটা,3
102,মাদার চোদ,5
103,হোগা চাটা,4
109,মাসিকের রক্ত।,2
117,তর মার ভোদায় পাব্লিক টয়লেট,5
118,তর মায়ের ভুদাতে পোকা,5
119,তর বাপপের হোল তর বউয়ের ভোদাতে।,5
120,তর মায়ের ঐখানে বিছাতু পাতা।,5
138,তোগোরে ফাসিতে লটকাইয়া চুদমু,5
139,তোগোর ধোন টাইনা তোগোর পিছন দিয়া ঢুকামু,5
143,জং ধরা লোহা দিয়া পাকিস্তানের মানচিত্র বানাই্য়া তোদের পিছন দিয়া ঢুকামু,5
144,তর মায়ের ভোদা শিরিষ কাগজ দিয়া ঘইষা দিমু,5
145,তর মায়ের ভোদা বোম্বাই মরিচ দিয়া চুদামু,5
146,"তর হোগায় ইনপুট, তর মায়ের ভোদায় আউটপুট",5
147,তর বাপের পুটকির ফুটা দিয়া কাডল ঢুকামু,5
149,তর বাপের ধন দিয়া ডাংগুলি খেলুম,5
150,তর বাপের বিচি বেইচা কটকটি খামু,5
151,তর বৌয়ের ভোদায় মাগুর মাছ চাষ করুম,5
153,ফাটা কন্ডমের ফসল।,4
154,লাত্থায় তর মার আনরেজিস্টার্ড শ্বশুরবাড়ী ফাকিস্তান পাঠায় দিমু,5
155,হাতির ল্যাওড়া দিয়া তর মায়েরে চুদুম,5
156,তর মায়ের ভোদা ছিল্লা লবণ লাগায় দিমু,5
157,তর বাপের হোগা দিয়া ট্রেন ভইরা দিমু,5
159,এক কানে হোল ভইরা আরেক কান দিয়া বাইর করমু,5
160,তোর হোল ভাজি কইরা তোরেই খাওয়ামু,5
162,মাসিকের ত্যানা,2
165,মোবাইল ভাইব্রেশন কইরা তুর পুকটিতে ভরবো,5
166,তোর বইয়ের মুসলমানি দিমু,4
170,অক্ষম পুরুষ,2
174,জালিম,1
177,অবৈধ সন্তান,3
180,ল্যাংটা,1
188,অসভ‍্য বর্বর,1
189,অসুস্থ মস্তিষ্ক,1
191,আওয়ামী দালাল,2
205,ইসলাম বিদ্ধেষী,2
206,জঙ্গি,2
217,ওরে চিটার,1
218,ওরে ছাগল,1
226,কচি মাল,3
228,কড়া মাল,3
239,কাঙাল,2
247,কাঠ মোল্লা,2
250,মুশরিক,2
251,কাফির,2
264,চ্যাটের বাল,3
269,খাট যোদ্ধা,2
270,খাড়া বাড়া,2
271,খানকি,4
281,গাঁজাখোর,2
282,মদখোর,2
284,ডেন্ডিখোর,2
285,বেইমান,2
305,গায়ে গন্ধ,2
312,নেশাখোর,2
327,চটি সেক্স,2
345,চুদতে চাই,4
353,চুদে চাটনি,3
356,চুলকানি বেশি,1
364,ধুর সালা,1
366,ধোন চাটা,4
368,নপুংসক,3
370,নরপশু কুলাঙ্গার,3
372,নর্দমার কীট,2
373,নষ্ট ছেলে,2
378,নষ্টা মহিলা,3
380,নাই শরম,1
383,নাপাক,1
385,নাস্তিক,3
386,মুরতাদ,3
390,নিকৃষ্টতম শুক্রাণু,2
397,নিজের মাকে চোদে,5
402,নুনু ছোট,3
433,পাছায় বাঁশ,2
434,পাছায় লাথি,2
445,পায়ু যোদ্ধা,2
476,পোদে লাথি,2
477,পোষা কুকুর,1
480,প্রতিবন্ধী,1
488,ফালতু কাজ,1
