id,BG
1,শুয়োরের বাচ্চা
2,কুত্তার বাচ্চা
3,হারামির বাচ্চা
7,খানকির পোলা
8,খান্কি মাগির পোলা
9,চোদনা
10,চুদির ভাই
13,তর মায়রে চুদি
29,গুয়ার ভিতরে ভিতরে ভইড়া দিমু
34,কুত্তাচোদা
35,তর পুটকিত ধান ছড়াইয়া চড়ুই দিয়া খাওয়ামু
65,গুদের বাল
68,বেশ্যা মাগী
78,ভাতার চুদা
81,গরম ডিম দিমু
84,ধোন কাইট্টা কুত্তা দিয়া খাওয়ামু
86,নিবীর্জ
92,লাথ্থি দিমু
93,উষ্টা খা
95,সুদখোর
99,হোলচাটা
102,মাদার চোদ
103,হোগা চাটা
109,মাসিকের রক্ত।
117,তর মার ভোদায় পাব্লিক টয়লেট
118,তর মায়ের ভুদাতে পোকা
119,তর বাপপের হোল তর বউয়ের ভোদাতে।
120,তর মায়ের ঐখানে বিছাতু পাতা।
138,তোগোরে ফাসিতে লটকাইয়া চুদমু
139,তোগোর ধোন টাইনা তোগোর পিছন দিয়া ঢুকামু
143,জং ধরা লোহা দিয়া পাকিস্তানের মানচিত্র বানাই্য়া তোদের পিছন দিয়া ঢুকামু
144,তর মায়ের ভোদা শিরিষ কাগজ দিয়া ঘইষা দিমু
145,তর মায়ের ভোদা বোম্বাই মরিচ দিয়া চুদামু
146,"তর হোগায় ইনপুট, তর মায়ের ভোদায় আউটপুট"
147,তর বাপের পুটকির ফুটা দিয়া কাডল ঢুকামু
149,তর বাপের ধন দিয়া ডাংগুলি খেলুম
150,তর বাপের বিচি বেইচা কটকটি খামু
151,তর বৌয়ের ভোদায় মাগুর মাছ চাষ করুম
153,ফাটা কন্ডমের ফসল।
154,লাত্থায় তর মার আনরেজিস্টার্ড শ্বশুরবাড়ী ফাকিস্তান পাঠায় দিমু
155,হাতির ল্যাওড়া দিয়া তর মায়েরে চুদুম
156,তর মায়ের ভোদা ছিল্লা লবণ লাগায় দিমু
157,তর বাপের হোগা দিয়া ট্রেন ভইরা দিমু
159,এক কানে হোল ভইরা আরেক কান দিয়া বাইর করমু
160,তোর হোল ভাজি কইরা তোরেই খাওয়ামু
162,মাসিকের ত্যানা
165,মোবাইল ভাইব্রেশন কইরা তুর পুকটিতে ভরবো
166,তোর বইয়ের মুসলমানি দিমু
170,অক্ষম পুরুষ
174,জালিম
177,অবৈধ সন্তান
180,ল্যাংটা
188,অসভ‍্য বর্বর
189,অসুস্থ মস্তিষ্ক
191,আওয়ামী দালাল
205,ইসলাম বিদ্ধেষী
206,জঙ্গি
217,ওরে চিটার
218,ওরে ছাগল
226,কচি মাল
228,কড়া মাল
239,কাঙাল
247,কাঠ মোল্লা
250,মুশরিক
251,কাফির
264,চ্যাটের বাল
269,খাট যোদ্ধা
270,খাড়া বাড়া
271,খানকি
281,গাঁজাখোর
282,মদখোর
284,ডেন্ডিখোর
285,বেইমান
305,গায়ে গন্ধ
312,নেশাখোর
327,চটি সেক্স
345,চুদতে চাই
353,চুদে চাটনি
356,চুলকানি বেশি
364,ধুর সালা
366,ধোন চাটা
368,নপুংসক
370,নরপশু কুলাঙ্গার
372,নর্দমার কীট
373,নষ্ট ছেলে
378,নষ্টা মহিলা
380,নাই শরম
383,নাপাক
385,নাস্তিক
386,মুরতাদ
390,নিকৃষ্টতম শুক্রাণু
397,নিজের মাকে চোদে
402,নুনু ছোট
433,পাছায় বাঁশ
434,পাছায় লাথি
445,পায়ু যোদ্ধা
476,পোদে লাথি
477,পোষা কুকুর
480,প্রতিবন্ধী
488,ফালতু কাজ
